# restwave bluenorm blueerr rednorm rederr
904.241 -0.291 0.220 0.170 0.165
904.373 -0.305 0.222 -0.015 0.187
904.505 0.477 0.260 -0.448 0.191
904.636 -0.028 0.245 -0.103 0.178
904.768 0.275 0.273 0.170 0.215
904.900 -0.381 0.233 0.288 0.232
905.032 -0.662 0.219 0.498 0.215
905.163 0.092 0.236 -0.136 0.217
905.295 0.460 0.305 0.379 0.256
905.427 0.000 0.324 0.653 0.288
905.558 -0.178 0.291 0.194 0.277
905.690 -0.006 0.330 0.296 0.292
905.822 -0.100 0.312 0.122 0.303
905.954 0.177 0.318 -0.133 0.300
906.085 0.325 0.342 0.278 0.306
906.217 -0.461 0.427 0.378 0.339
906.349 -0.071 0.425 -0.098 0.373
906.481 0.014 0.442 0.159 0.400
906.612 0.462 0.405 -0.472 0.427
906.744 0.089 0.370 -1.625 0.434
906.876 -0.262 0.310 -0.878 0.394
907.007 -0.465 0.308 -0.306 0.316
907.139 0.054 0.296 -0.386 0.287
907.271 -0.280 0.272 -0.215 0.294
907.403 -0.363 0.269 -0.450 0.281
907.534 -0.412 0.275 0.025 0.279
907.666 -0.039 0.273 0.001 0.280
907.798 -0.051 0.271 -0.468 0.253
907.929 -0.013 0.262 -0.465 0.246
908.061 -0.280 0.244 0.024 0.250
908.193 -0.251 0.245 -0.255 0.245
908.325 -0.043 0.243 -0.185 0.246
908.456 -0.211 0.241 -0.149 0.246
908.588 -0.189 0.240 -0.610 0.240
908.720 -0.019 0.241 -0.706 0.238
908.851 -0.109 0.241 0.143 0.245
908.983 0.044 0.245 0.256 0.247
909.115 -0.069 0.245 -0.085 0.247
909.247 -0.088 0.249 0.013 0.251
909.378 0.307 0.252 0.017 0.250
909.510 -0.321 0.246 0.118 0.250
909.642 -0.584 0.245 -0.179 0.249
909.773 0.053 0.250 -0.019 0.249
909.905 0.073 0.249 -0.081 0.249
910.037 0.234 0.251 -0.369 0.248
910.169 0.475 0.253 0.159 0.250
910.300 0.399 0.253 0.086 0.248
910.432 -0.421 0.246 -0.054 0.249
